ID, name
1,Social Science
2,Actresses
3,1940-1949
4,Medical
5,Design
6,Fiction
7,History
8,9
9,Nature
10,Humor
11,Cooking
12,Reference
13,Juvenile Fiction
14,Canadian fiction
15,Health & Fitness
16,FICTION
17,Control (Psychology)
18,Cholistan Desert (Pakistan)
19,Science
20,Political ethics
21,Conduct of life
22,Horses
23,Political Science
24,Brothers
25,Baggins, Frodo (Fictitious character)
26,Biography & Autobiography
27,Business & Economics
28,Americans
29,Infanticide
30,Cabala
31,Literary Criticism
32,Self-Help
33,American fiction
34,Humorous stories
35,Diary fiction
36,Religion
37,German language
38,Bloom, Leopold (Fictitious character)
39,Detective and mystery stories
40,Gargoyles (Fictitious characters)
41,Oglala Indians
42,England
43,Michigan
44,Foster mothers
45,Families
46,Adolescence
47,Dune (Imaginary place)
48,Animals
49,Great Britain
50,London (England)
51,Music
52,Mars (Planet)
53,Popular literature
54,Fairy tales
55,"Children's stories"
56,Jews
57,Fantasy fiction, English
58,Arctic regions
59,Poetry
60,Comics & Graphic Novels
61,Comic books, strips, etc
62,Fantasy comic books, strips, etc
63,Language Arts & Disciplines
64,Aerospace engineers
65,Greek poetry
66,Juvenile Nonfiction
67,Gay men
68,Orphans
69,Family problems
70,Computers
71,American literature
72,Popular music
73,Businessmen
74,Psychology
75,Body, Mind & Spirit
76,Self-perception
77,Literary Collections
78,Women
79,Arthurian romances
80,Fantasy fiction
81,Animal welfare
82,Criminals
83,Adulteresses
84,Games
85,Rapture (Christian eschatology)
86,Presidents
87,Family & Relationships
88,Education
89,Art
